               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,           0.0060431,           0.0036597,                   0,             0.98948,             0.98733,             0.99474,              0.9891,            0.002606,           0.0013009,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.006018,           0.0036467,                   0,             0.98749,              0.9895,             0.99476,             0.98904,           0.0025858,           0.0013119,                   0,            0.002608,            0.002608,            0.002608
                 114,           0.0058345,           0.0036357,                   0,               0.988,             0.98765,             0.99475,              0.9892,           0.0025847,           0.0013104,                   0,            0.002542,            0.002542,            0.002542
                 115,           0.0058999,           0.0036626,                   0,              0.9885,             0.98829,             0.99479,             0.98906,           0.0025704,           0.0013085,                   0,            0.002476,            0.002476,            0.002476
                 116,           0.0059106,           0.0035758,                   0,             0.99079,              0.9875,             0.99478,             0.98921,           0.0025631,           0.0012979,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.005856,           0.0035296,                   0,             0.99044,               0.987,             0.99474,             0.98919,           0.0025509,           0.0012875,                   0,            0.002344,            0.002344,            0.002344
                 118,           0.0057046,           0.0036085,                   0,             0.99085,               0.987,             0.99474,             0.98912,           0.0025342,           0.0012833,                   0,            0.002278,            0.002278,            0.002278
                 119,           0.0058852,           0.0036519,                   0,             0.99096,             0.98674,             0.99474,             0.98917,            0.002566,           0.0012898,                   0,            0.002212,            0.002212,            0.002212
                 120,           0.0057063,           0.0035381,                   0,             0.99046,             0.98664,             0.99473,             0.98918,           0.0025881,           0.0012903,                   0,            0.002146,            0.002146,            0.002146
                 121,           0.0057359,           0.0034894,                   0,             0.99037,              0.9865,             0.99473,             0.98909,           0.0026052,            0.001288,                   0,             0.00208,             0.00208,             0.00208
                 122,           0.0055458,           0.0034462,                   0,             0.98947,             0.98664,             0.99471,             0.98914,           0.0025975,           0.0012832,                   0,            0.002014,            0.002014,            0.002014
                 123,           0.0054838,           0.0034789,                   0,             0.98947,             0.98656,             0.99471,             0.98914,           0.0025852,           0.0012742,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.005521,           0.0034556,                   0,             0.99018,              0.9865,             0.99472,             0.98905,           0.0025668,           0.0012757,                   0,            0.001882,            0.001882,            0.001882
                 125,           0.0054599,           0.0034272,                   0,             0.99046,             0.98628,              0.9947,             0.98913,           0.0025642,           0.0012768,                   0,            0.001816,            0.001816,            0.001816
                 126,           0.0054731,           0.0035039,                   0,             0.99127,               0.986,             0.99476,             0.98906,           0.0025516,           0.0012711,                   0,             0.00175,             0.00175,             0.00175
                 127,           0.0054831,           0.0033899,                   0,             0.99155,               0.986,             0.99475,             0.98907,           0.0025422,           0.0012735,                   0,            0.001684,            0.001684,            0.001684
                 128,           0.0053435,           0.0033361,                   0,             0.99093,              0.9865,             0.99474,             0.98912,            0.002531,            0.001272,                   0,            0.001618,            0.001618,            0.001618
                 129,           0.0054865,           0.0033554,                   0,             0.99146,              0.9855,             0.99467,             0.98911,           0.0025299,           0.0012699,                   0,            0.001552,            0.001552,            0.001552
                 130,           0.0053823,           0.0034112,                   0,             0.99245,             0.98593,             0.99466,             0.98914,           0.0025407,           0.0012704,                   0,            0.001486,            0.001486,            0.001486
                 131,             0.00513,           0.0033679,                   0,             0.99145,             0.98521,             0.99463,             0.98915,           0.0025417,           0.0012704,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.005387,           0.0033504,                   0,             0.99145,             0.98518,             0.99463,             0.98913,           0.0025335,           0.0012682,                   0,            0.001354,            0.001354,            0.001354
                 133,           0.0053446,           0.0033073,                   0,             0.99245,             0.98614,             0.99465,             0.98917,           0.0025306,           0.0012683,                   0,            0.001288,            0.001288,            0.001288
                 134,           0.0050556,           0.0031637,                   0,             0.99245,             0.98537,             0.99465,             0.98912,           0.0025255,           0.0012672,                   0,            0.001222,            0.001222,            0.001222
                 135,           0.0051262,           0.0032712,                   0,             0.99245,             0.98602,             0.99464,             0.98915,             0.00251,           0.0012693,                   0,            0.001156,            0.001156,            0.001156
                 136,           0.0052882,           0.0033327,                   0,             0.99245,             0.98597,             0.99465,             0.98912,           0.0025009,           0.0012699,                   0,             0.00109,             0.00109,             0.00109
                 137,           0.0051802,           0.0032101,                   0,             0.99245,             0.98587,             0.99465,             0.98925,           0.0024997,           0.0012699,                   0,            0.001024,            0.001024,            0.001024
                 138,           0.0050909,           0.0032951,                   0,             0.99245,             0.98574,             0.99465,             0.98925,           0.0025029,           0.0012694,                   0,            0.000958,            0.000958,            0.000958
                 139,           0.0051962,            0.003249,                   0,             0.99245,             0.98578,             0.99466,             0.98926,           0.0025028,             0.00127,                   0,            0.000892,            0.000892,            0.000892
                 140,           0.0049888,           0.0032411,                   0,             0.99227,               0.986,             0.99466,             0.98922,           0.0025067,           0.0012703,                   0,            0.000826,            0.000826,            0.000826
                 141,           0.0050023,           0.0032077,                   0,             0.99239,               0.986,             0.99467,             0.98925,           0.0025058,           0.0012735,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.005098,            0.003204,                   0,             0.99245,              0.9861,             0.99468,             0.98935,           0.0025025,           0.0012722,                   0,            0.000694,            0.000694,            0.000694
                 143,           0.0050607,           0.0031838,                   0,              0.9926,               0.986,             0.99468,              0.9894,           0.0025026,           0.0012742,                   0,            0.000628,            0.000628,            0.000628
                 144,           0.0048017,           0.0030297,                   0,             0.99245,             0.98633,             0.99468,             0.98943,           0.0025048,           0.0012764,                   0,            0.000562,            0.000562,            0.000562
                 145,           0.0047573,           0.0030547,                   0,             0.99311,              0.9865,             0.99468,             0.98942,           0.0025052,           0.0012793,                   0,            0.000496,            0.000496,            0.000496
                 146,           0.0047909,           0.0030352,                   0,             0.99235,              0.9865,              0.9947,             0.98945,            0.002511,            0.001282,                   0,             0.00043,             0.00043,             0.00043
                 147,           0.0047336,           0.0030913,                   0,             0.99271,              0.9865,              0.9947,             0.98943,           0.0025197,           0.0012844,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.004667,           0.0030826,                   0,             0.99295,             0.98632,             0.99469,             0.98949,           0.0025242,           0.0012872,                   0,            0.000298,            0.000298,            0.000298
                 149,           0.0047122,           0.0029895,                   0,             0.99295,             0.98584,             0.99469,              0.9895,           0.0025288,           0.0012901,                   0,            0.000232,            0.000232,            0.000232
